الاسم,الإيديولوجيا,الموقف السياسي,المؤسس (المؤسسون)
فتح - المجلس الثوري (مترجمه),"علمانية ,معاداة الصهيونية ,قومية فلسطينية ",-,
كتائب شهداء الاقصى (مترجمه),"اشتراكية ,معاداة الصهيونية ,قومية فلسطينية ",-,
,"قومية عربية ,معاداة الاستعمارية ,اشتراكية عربية ,وحدة عربية ,التيار الناصري ",يسارية ,
,"قومية عربية ,معاداة الاستعمارية ,اشتراكية عربية ,وحدة عربية ,التيار الناصري ",يسارية ,
حركة أمل ,"شعبوية ,سياسة محافظة ",وسط اليمين ,نبيه بري 
حركة أمل ,"شعبوية ,سياسة محافظة ",وسط اليمين ,نبيه بري 
الحزب العربي الديمقراطي (مترجمه),"قومية عربية ,بلاد الشام ,بعثية ",يسارية ,
,"قومية عربية ,وحدة عربية ,معاداة الصهيونية ",-,
جبهة التحرير العربية ,"بعثية ,بعثية ,بعثية ,قومية فلسطينية ",-,
حزب البعث العربي الاشتراكي (لبنان) ,بعثية ,-,
حزب الطاشناق ,"الاشتراكية الديمقراطية ,أرمينية العظمى ,قومية أرمنية ",يسارية ,
,"إسلاموية ,الجهادية (مترجمه),السلفية ",-,
جيش الجهاد المقدس ,معاداة الصهيونية ,-,
منظمة الصاعقة ,"وحدة عربية ,بعثية ",-,
منظمة أيلول الأسود ,القومية الفلسطينية ، معاداة الصهيونية (مترجمه),-,
منظمة العمل الشيوعي في لبنان ,"ماركسية لينينية ,شيوعية ,اشتراكية ",يسارية ,
حزب الطاشناق ,"قومية أرمنية ,معاداة الشيوعية ,2020 ,أرمينية العظمى ,اقتصاد السوق الاجتماعي ,اشتراكية ثورية ,ديسمبر 2020 ج (مترجمه),فشل التحقق (مترجمه),روسوفيليا ,الاشتراكية الديمقراطية ",اليسار المعتدل ,"• سيمون زافاريان (مترجمه),• ستيبان زوريان (مترجمه),• كريستابور ميكاليان (مترجمه)"
الجبهة الديمقراطية لتحرير فلسطين ,"ماركسية لينينية ,شيوعية ,قومية يسارية ,قومية فلسطينية ,معاداة الصهيونية ",أقصى اليسار ,
حركة فتح ,"ديمقراطية اجتماعية ,علمانية ,قومية فلسطينية ","اليسار المعتدل ,يسارية ",
حراس الأرز ,"عصبية قومية ,قومية لبنانية ,قومية فينيقية ,محافظة اجتماعية ,معاد للفلسطينيين (مترجمه),معاداة العرب ",-,
حركة حماس ,"66-67 * الإسلاموية sfn (مترجمه),66-67 س (مترجمه),دالاكورا (مترجمه),465 س (مترجمه),156-57 س (مترجمه),معاداة السامية sfn (مترجمه),156-57 (مترجمه),ستيبانوفا (مترجمه),إسلاموية ,270 * القومية الدينية sfn (مترجمه),إنذار بالدفع (مترجمه),القومية الدينية (مترجمه),قائمة عادية (مترجمه),ص (مترجمه),معاداة الصهيونية ,156–57 * معاداة الصهيونية (مترجمه),151-52 س (مترجمه),ليتوانيا (مترجمه),معاداة السامية ,قومية فلسطينية ,شيما (مترجمه),151-52 (مترجمه)",-,"إسماعيل هنية ,موسى ابو مرزوق وخالد مشعل صفن (مترجمه),ليفيت (مترجمه)"
حزب الله ,"معاداة السامية ,وحدة إسلامية ,جهاد الشيعة (مترجمه),معاداة الاستعمارية ,القومية الإسلامية (مترجمه),قائمة بدون تعداد نقطي (مترجمه),معاداة الصهيونية ,خمينية ",-,حسن نصر الله 
لانغ (توضيح) ,"إسلاموية ,قومية فلسطينية ,الجهادية (مترجمه),القومية الإسلامية (مترجمه),معاداة الصهيونية ",-,
حركة التوحيد الإسلامي ,إسلاموية ,-,
الجيش الأحمر الياباني ,"ماركسية لينينية ,شيوعية ,معاداة الاستعمارية ",-,
,قومية أرمنية ,-,
حزب الكتائب اللبنانية (مترجمه),"معاداة الشيوعية ,قومية لبنانية ,الكتائب (مترجمه),مارونية سياسية ,ديمقراطية مسيحية ,محافظة اجتماعية ","يمينية ,يمين متطرف ,وسط اليمين ","سامي الجميل ,بيار الجميل "
حزب الكتائب اللبنانية (مترجمه),"معاداة الشيوعية ,قومية لبنانية ,الكتائب (مترجمه),مارونية سياسية ,ديمقراطية مسيحية ,محافظة اجتماعية ","يمينية ,يمين متطرف ,وسط اليمين ","سامي الجميل ,بيار الجميل "
حزب العمال الكردستاني ,"قائمة عادية (مترجمه),مناهضة الرأسمالية ,قومية كردية ,ماركسية لينينية ,شيوعية ,الكونفدرالية الديمقراطية (مترجمه),جيولوجيا (مترجمه),الماركسية - اللينينية * الاشتراكية التحررية * مناهضة الرأسمالية (مترجمه),مشاعية ,اشتراكية تحررية ",-,"باهوز اردال (مترجمه),مراد قرايلان ,سوزدار أفستا (مترجمه),الدرع الدائم (مترجمه),بيسيه حوزات (مترجمه),عبدالله أوجلان أسير الحرب (مترجمه),جميل بايق ,مصطفى كاراسو (مترجمه)"
الحزب الشيوعي اللبناني ,"ماركسية لينينية ,شيوعية ",أقصى اليسار ,
القوات اللبنانية ,"محافظة وطنية ,قومية لبنانية ,قومية مسيحية ,محافظة ليبرالية ",يمينية ,"سمير جعجع ,بشير الجميل "
,"معاداة القومية العربية (مترجمه),معاداة الشيوعية ,قومية لبنانية ",-,
ليكود ,"ليبرالية وطنية ,ليبرالية اقتصادية ,صهيونية ,صهيونية تصحيحية ,محافظة ليبرالية ,شعبوية يمينية ,سياسة محافظة ","وسط اليمين ,يمينية ",
تيار المردة ,"بلاد الشام ,قومية لبنانية ,ديمقراطية مسيحية ",يمينية ,"سليمان فرنجية ,الابن. (مترجمه),سليمان فرنجية "
تحالف 14 آذار ,"الحكومة المعادية لسوريا (مترجمه),قومية لبنانية ",خيمة كبيرة (سياسة) ,
تحالف 8 آذار ,"قومية عربية ,الحكومة الموالية لسوريا (مترجمه)",خيمة كبيرة (سياسة) ,
الإخوان المسلمون ,"معاداة الشيوعية ,السلفية ,معاداة الصهيونية ,وحدة إسلامية ,سياسة محافظة ,إسلاموية ,محافظة اجتماعية ,صوفية ",يمينية ,
