Name,Political Party,Nationality,Religion
Ali Akbar Velayati,"Islamic Association of Physicians of Iran,Islamic Coalition Party",-,-
Amine Gemayel,Kataeb Party,Lebanese,-
Bachir Gemayel,Kataeb Party,-,-
René Moawad,Independent,-,-
Claiborne Pell,Democratic,-,-
James Foley Lewis,-,-,-
Janet Lee Stevens,-,American,-
Nancy Reagan,Republican,-,-
Philip Habib,-,American,-
Rashid Karami,"Independent,Associated,the Lebanese National Movement during the Lebanese Civil War.",Lebanese,-
Robert Ames,-,American,-
Robert Baer,-,American,-
