en,ar
a Maronite Christian,مسيحي ماروني
pro-Palestinians,مؤيد للفلسطينيين
Phalangist,الكتائب
Christians,مسيحيون
Palestinians,فلسطينيون
Arabs,عرب
Spanish,الأسبانية
Lebanese Muslims,المسلمون اللبنانيون
Christian Lebanese,مسيحي لبناني
Israeli,إسرائيلي
Muslims,المسلمون
Lebanese Shiites,شيعة لبنان
Palestinian,فلسطيني
Palangists,Palangists
Maronites,الموارنة
Syrians,سوريون
Americans,الأمريكيون
Italian,إيطالي
Arab,عرب
Syrian,سوري
American,أمريكي
Lebanese,لبناني
Israelis,الإسرائيليين
Christian,مسيحي
Muslim,مسلم
Phalange,الكتائب
Phalangists,الكتائب
