Sentence,Label,Year
He fought anyone who was going to war and the  freedom of the Lebanese decision is respectful.,Distant_Evaluation,1982
"In his speech, the South Satisfied situation affirmed the Lebanese  people against the existence of the Palestinian resistance, and we  are in solidarity with them, but the Lebanese land is  sacred for us completely.We help them confirm the freedom of  the Palestinian decision.",Distant_Evaluation,1982
We are waiting and we want to confirm the freedom  of the Lebanese decision and the opinion of the respectable  state must be a perceived strategy that adapts to events,Distant_Evaluation,1982
"Resilience and gathering to steadfastness, consciousness of the cloak, can  Lebanon in general and south in particular to bear it  and believe that the Palestinian revolution and the national forces  can overlook his hair in this hippocampus, and he added  that Israel needs it, so it calls for the establishment  and growth of a national resistance, Lebanon, comprehensively to the  Zionist danger, renews the south, so the Palestinian resistance becomes  a force of support for his identityThe south remains merely  a brightness of the Palestinian revolution with every official contribution  that wants to support the south of a national resistance  capable",Distant_Expectations_Consequences,1982
"The leaders of the meeting are called for the committee  to reach the difficulties of the difficulties of the formation  of the oversight body with a Lebanese -Syrian understanding, as  these conditions show the danger of Israel to attack the  south and the difficult Palestinian resistance is unacceptable to implement  the powers of the oversight body by preventing the resistance  weapons that Saudi Arabia and Kuwait are ready to attend  the meeting of the Follow -up Committee is Majdi",Cause_General,1982
"Earth and people, and achieve the Lebanese Palestinian solidarity and  ensure the protection of the Palestinian revolution and the strengthening  of its struggle against the Sahabi enemy.Enhancing the unit of  the two revolutionary powers and the south of resilience to  confront the Israeli aggression",Distant_Expectations_Consequences,1982
"The lack of withdrawal of the South, except to confirm  the arrival of the president of the Republic in Lebanon,  is ready to enter, such as negotiations and acceptance of  the resettlement of the Palestinians, Lebanon, control their armed presence,  and this can be achieved by the path of establishing  a strong country capable and central authority is effective.The resistance  as much as the south itself is to achieve its  goals, which are threats that will be carried out by  the appropriate time of its own needs",Cause_General,1982
"In the western Beirut, he said when the Palestinian resistance  started with active practices, and with the abuses, we stopped  the oppressed, and now we refuse, such as abuses and  reject the return of the Palestinian resistance that was before  the Israeli invasion of Lebanon and praised the southern resistance  of the Israeli occupation, indicating that the southern resistance is  Islamic to save the scholars.",Distant_Expectations_Consequences,1984
"And they know, you mentioned, France can play the role  of the mediator because this issue is meaning and that  it can be a solution to be a mediator and  the opinion of the Lebanese army and in those who  support its positions learn that the army is based on  its correct theory and its good belief to change their  organization and since it exists, we depend on the army  of the southern suburb and the mountain and learnThus, it  is well related to the positions of people and their  support for this army.",Distant_Evaluation,1984
We refuse that the political solution is clear.,Distant_Evaluation,1984
The most important bold and violent strikes are directed by  the Lebanese resistance fighters and the Palestinian revolutionary fighters to  the enemy soldiers in southern Lebanon.,Distant_Evaluation,1984
"And why is another West Bank, Israel sets its Litani  borders and prevents entry and exit, which puts an end  to the Lebanese national resistance and limits it or surrounded  it.",Cause_Specific,1985
"In order for Israel not to invoke the return of  the Palestinian resistance to the south, because it means returning  the situation to was before the invasion, Lebanon asked the  Palestinian leaders the Arab countries.",Distant_Expectations_Consequences,1985
The influence of the leaders to stop the military activity  of Lebanon and through its borders Israel because it would  have given its catastrophic to justify the survival of its  parts.,Distant_Expectations_Consequences,1985
Requesting the palm we say the Palestinian resistance shares the  Lebanese national resistance.Lebanon and its approval to establish its land  resistance,Main,1985
He praised the sons of the south who presented the  most expensive for them to liberate their land with the  clutches of the imbalance.,Distant_Evaluation,1985
"The second aspect of the scheme and the judge warned  the fabrication of the suburbs of Sidon by the agents  and some of the Lebanese Palestinian forces, and the organization  said a statement issued yesterday, the time is manifested daily  by the brilliance of the pictures in the fighters of  the fighters of the Lebanese national resistance forehead.Paid",Main,1985
"The relevant to deepen the southern national unity, the rule  of resistance to the occupation, the rejection of its clients,  and the confrontation of the fascist factional approach dreams of  its owners of dealing with Israel.The Lebanese and the light  of everyone under the banner of the Lebanese national resistance  and everyone realized that the Lebanese -Lebanese -Palestinian Alliance is  a long -standing pillar of the Israeli occupation of the  Lebanese scene",Distant_Expectations_Consequences,1985
"The basis for the Israeli settlement striker eliminates a major  achievement of the operation of Lebanon's summer invasion of Lebanon,  which resulted in the removal of the Palestinian resistance.",Cause_General,1985
"The meeting appeals to the sons of Sidon, urgently, to  pay attention to the defects of the Zionist enemy, and  to ensure that their unity and full awareness of the  security and the Arab veil have set its program for  the Sunnah and identified the international safety for solidarity the  Arab people and its issue Palestine is its program for  the Sunnah, confirming the work.",Distant_Expectations_Consequences,1985
"The challenge is now directed to everyone that supports the  Lebanese legitimacy of the south, committed alone, and confirms relations  with SyriaIndividualism, disintegration, division and all surrender projects",Distant_Evaluation,1985
"The result was that for years the south bearing the  act of the Palestinian resistance and Israel's reactions and bearing  an Israeli invasion of the southern department ended with the  entry of international forces to secure the withdrawal, the occupied  section is a broader invasion of the south, Beirut and  other parts of Lebanon, Lebanon is still suffering to the  full withdrawal of its lands despite the decisions of the  clear and explicit security council",Cause_General,1985
"Source of the Popular Front for the Liberation of Palestine,  the sons of Sidon, the wonderful heroic victory, was achieved  by the Lebanese and Palestinian National Resistance Championships.",Distant_Anecdotal,1985
"Suleiman Dawood Daoud Datsen and Jean Alfoury Volkswagen were damaged.Since  the withdrawal of the Israelis, Sidon and its next to  the Palestinian Miyah camp, Mih, and the sons of the  town, the killing of a Palestinian girl and the injury  of the country's boy.",Main_Consequence,1985
"It called for the coalition to strengthen the Lebanese national  forces and the Palestinian resistance and Syria and the movement  of Arab national liberation, and the state demanded that the  resistance fighters be withdrawn, the army withdrawn the West market,  put it in the natural place, the land of the  south, and removed the barrier barrier.",Distant_Expectations_Consequences,1985
"Supporting the Palestinian issue, supporting the national resistance forehead, southern  Lebanon, and continuing support in order to stop the Gulf  War, and resolving the world's liberation issues.",Distant_Expectations_Consequences,1985
"The framework of support, support and support remains",Distant_Expectations_Consequences,1985
"The resistance attacked the southern barriers in the city of  Tire, and in the Al -Marafa area within the region  of Chamoun Perez, the Israeli Prime Minister, to the student  conference of the Labor Party, that Shiite terrorism behind the  terrorism of the Palestine Liberation Organization in southern Lebanon will  raise more problems.",Main_Consequence,1985
"Arafat asked a message to the Secretary -General of the  United Nations and the Security Council permeated it to put  an end to the attacks.The Palestinian news agency, in which  the Palestinian resistance factions are standing idle about the residents  of Ain al -Hilweh and the water camps, and the  Palestinian woman, in southern Lebanon.",Cause_Specific,1985
"The patriotic parties and the forces of confrontation and Arab  steadfastness, especially Syria, are an effort to drop the renewed  version of the second David David pushes it to a  strategic strategic position that is unique political solutions and the  alliance of the forces of change and the Palestinian resistance  revolution represented by the national rescue front and all the  national and national forces struggled, and when they still put  an end to the American Zionist ordersIts tools defeated the  Lebanese scene and dropped its approach to dropping the fateful  May agreement and liberating our national soil, the south, the  western Bekaa, and Rashia, the abomination of the Zionist occupation",Distant_Evaluation,1985
Related to the case of Lebanon to the region’s issue.,Distant_Expectations_Consequences,1985
"In addition, the return of the Palestinian resistance to the  south would re -link the Lebanese issue to the Palestinian  issue that Lebanon made and made the effort to separate  its Palestinian issue issue and on the Middle East issue  and that President Assad himself confirmed the separation a statement  and called for work for that",Distant_Expectations_Consequences,1985
Arafat accused the Amal of that she had a secret  agreement with Israel for his deficiency of the activity of  the Palestinian and Lebanese resistance south.,Cause_Specific,1985
"A press conference praised the position of the Progressive Socialist  Party, Hezbollah, the Nasserite Marks, who were stationed for their  refusal to fight, besides Amal, considering that the attacks of  the Palestinian camps, Beirut, falls on the framework of the  agreement, the site, hope and Israel",Cause_Specific,1985
"They said that they sent telegrams to the presidents of  Syria, the Libyan masses, Algeria, and South Yemen, and to  the Secretary -General of the University of Arab States, which  are accepted by immediate intervention.Palestinian and Lebanese national forces",Main_Consequence,1985
She stated that the camps war revealed an external conspiracy  targeting the two peoples and the Lebanese and uses the  methods and means available to the rhythm between them and  the stage requires awareness and awareness to confront the conspiracy  the effects of strife and expanding the part.The Israeli enemy  is Lebanese lands,Distant_Evaluation,1985
