الدين,الجنسيه,الحزب السياسي,الاسم
-,لبناني (مترجمه),حزب الكتائب اللبنانية ,أمين الجميل 
-,-,حزب الكتائب اللبنانية ,بشير الجميل 
-,-,مستقل (توضيح) ,رينيه معوض 
-,-,-,بوبي غودمان 
-,لبناني (مترجمه),-,إيلي حبيقة 
-,-,-,مجيد أرسلان 
-,-,-,فادي أفرام 
-,-,-,فؤاد ابو ناضر
-,لبناني (مترجمه),"الحاجة إلى اقتباس من حركة اليسار الديمقراطي ,نوفمبر ,الحزب الشيوعي اللبناني ",جورج حاوي 
-,سوريون ,الفرع الإقليمي السوري لحزب البعث العربي الاشتراكي ,غازي كنعان 
-,-,nan,حافظ الاسد
-,-,مستقل (توضيح) ,ابراهيم طنوس
-,-,-,إيتامار رابينوفيتش 
-,-,التيار الوطني الحر ,ميشال عون 
-,لبناني (مترجمه),حركة أمل ,نبيه بري 
-,-,-,نصر الله بطرس صفير 
-,لبناني (مترجمه),"مرتبط ,الحركة الوطنية اللبنانية خلال الحرب الأهلية اللبنانية ,مستقل (توضيح) ",رشيد كرامي 
-,أمريكي (مترجمه),-,روبرت أميس مسؤول وكالة المخابرات المركزية 
-,-,-,روبرت فيسك 
-,لبناني (مترجمه),القوات اللبنانية ,سمير جعجع 
-,لبناني (مترجمه),مستقل (توضيح) ,شفيق الوزان 
-,-,الحزب التقدمي الاشتراكي ,وليد جنبلاط 
