category,sub-category
Articles with unsourced statements from September 2019,
Articles with permanently dead external links,
Lebanese Front,Category:Kataeb Party
,Category:Lebanese Front politicians
Articles lacking reliable references from May 2019,
Shlomtzion (political party) politicians,
Anti-communist parties,Category:All India Trinamool Congress
,Category:Alternative for Germany
,Category:Anti-communist parties in the Czech Republic
,Category:Democratic Progressive Party
,Category:Fascist parties
,Category:Fidesz
,Category:Inkatha Freedom Party
,Category:Iron Guard
,Category:Kataeb Party
,Category:Law and Justice
,Category:Liberal Democratic Party of Russia
,Category:Liberty Korea Party
,Category:National Democracy
,Category:National Party (South Africa)
,Category:National Rally (France)
,Category:Nazi Party
,Category:Neoliberal parties
,Category:New Power Party
,Category:Our Homeland Movement
,Category:People Power Party (South Korea)
,Category:People's Freedom Party
,Category:RENAMO
,Category:Russian Fascist Party
,Category:Taiwan Statebuilding Party
,Category:Việt Nam Quốc Dân Đảng
,Category:Yabloko
21st century in Lebanon,Category:21st-century disestablishments in Lebanon
,Category:21st-century establishments in Lebanon
,Category:2000s in Lebanon
,Category:2010s in Lebanon
,Category:2020s in Lebanon
,Category:21st century in Beirut
,Category:21st-century crimes in Lebanon
,Category:21st-century Lebanese people
,Category:21st century in Sidon
,Category:21st century in Lebanese television
,"Category:21st century in Tripoli, Lebanon"
,Category:Years of the 21st century in Lebanon
Wikidata value to be checked for Infobox mountain,
2009 films,Category:2009 directorial debut films
,Category:Lists of 2009 films by country or language
,Category:2009 television films
,Category:2009 3D films
,Category:2009 action films
,Category:2009 animated films
,Category:Avatar (2009 film)
,Category:2009 comedy films
,Category:2009 direct-to-video films
,Category:2009 documentary films
,Category:2009 drama films
,Category:2009 fantasy films
,Category:2009 horror films
,Category:2009 independent films
,Category:2009 LGBT-related films
,Category:2009 martial arts films
,Category:2009 romance films
,Category:2009 science fiction films
,Category:2009 short films
,Category:2009 thriller films
,Category:2009 Western (genre) films
Articles needing additional references from August 2021,
Use dmy dates from September 2021,
Articles with dead external links from April 2016,
Articles with dead external links from June 2016,
Wikipedia pages semi-protected from banned users,Category:Communist states
,Category:Final Fight characters
,Category:Suspected Wikipedia sockpuppets of BarzanPDK18
,Category:Suspected Wikipedia sockpuppets of BMX On WheeIs
,Category:Suspected Wikipedia sockpuppets of Gigsons
,Category:Suspected Wikipedia sockpuppets of Jagz
,Category:Suspected Wikipedia sockpuppets of Jesmion
,Category:Suspected Wikipedia sockpuppets of John Daker
,Category:Suspected Wikipedia sockpuppets of Kadir Avcı
,Category:Suspected Wikipedia sockpuppets of KBlott
,Category:Suspected Wikipedia sockpuppets of Nsmutte
,Category:Suspected Wikipedia sockpuppets of TougHHead
,Category:Wikipedia sockpuppets of Denizgezmis557761
,Category:Wikipedia sockpuppets of Hypocritepedia
,Category:Wikipedia sockpuppets of John Daker
,Category:Wikipedia sockpuppets of KBlott
,Category:Wikipedia sockpuppets of Mkbdtu
,Category:Wikipedia sockpuppets of Orchomen
,Category:Wikipedia sockpuppets of WebHamster
,Category:Wikipedia sockpuppets of Wikinger
All articles to be expanded,
Armored fighting vehicles of the Philippines,Category:Armored personnel carriers of the Philippines
,Category:Infantry fighting vehicles of the Philippines
20th-century military history of the United States,Category:20th-century history of the United States Army
,Category:20th-century history of the United States Air Force
,Category:Allied intervention in the Russian Civil War
,Category:Battle of Mogadishu (1993)
,Category:Cold War military history of the United States
,Category:Gulf War
,Category:Military history of the United States during the Korean War
,Category:United States Marine Corps in the 20th century
,Category:United States Navy in the 20th century
,Category:American nuclear weapons testing
,Category:Occupied Japan
,Category:United States color-coded war plans
,Category:United States invasion of Panama
,Category:Military history of the United States during the Vietnam War
,Category:Military history of the United States during World War I
,Category:Military history of the United States during World War II
CS1 Armenian-language sources (hy),
Ariel Sharon,
1986 in Lebanon,Category:1986 establishments in Lebanon
Short description with empty Wikidata description,
CS1 Korean-language sources (ko),Category:Azerbaijan–South Korea relations
All Wikipedia articles written in American English,
Articles with unsourced statements from April 2016,
Former polities of the Cold War,Category:Soviet satellite states
,Category:Federation of Arab Republics
,Category:Francoist Spain
,Category:Former polities of the Indochina Wars
,Category:State of Katanga
,Category:Kingdom of Laos
,Category:Kingdom of Nepal
,Category:North Yemen
,Category:Republic of China (1912–1949)
,Category:Rhodesia
,Category:Shah dynasty
,Category:South Yemen
,Category:United Arab Republic
,Category:West Germany
,Category:Zaire
Anti-Western sentiment,Category:Al-Qaeda in the Islamic Maghreb
,Category:Asa'ib Ahl al-Haq
,Category:Axis of Resistance
,Category:Boko Haram
,Category:Hamas
,Category:Hezbollah
,Category:September 11 attacks
Articles with BNE identifiers,
Anti-Zionist organizations,Category:Asa'ib Ahl al-Haq
,Category:Islamic State of Iraq and the Levant
,Category:Jihadist groups
,Category:Neo-Nazi organizations
,Category:Anti-Zionist political parties
Articles lacking reliable references from August 2018,
Spoken articles,
Israeli people of Russian-Jewish descent,Category:Israeli people of Mountain Jewish descent
Massacres of Christians,Category:Armenian genocide
,Category:Boxer Rebellion
,Category:Islamist attacks on churches
,Category:Istanbul pogrom
,Category:2019 Sri Lanka Easter bombings
Rebellions in Syria,Category:Arab rebellions in Syria
,Category:Kurdish rebellions in Syria
,Category:Rebellions in Mandatory Syria
,Category:Military coups in Syria
,Category:Rebel groups in Syria
,Category:Revolutions in Syria
,Category:Syrian civil war
Foreign relations of Lebanon,Category:Ambassadors of Lebanon
,Category:Ambassadors to Lebanon
,Category:Bilateral relations of Lebanon
,Category:Borders of Lebanon
,Category:Lebanese diplomats
,Category:Lebanon diplomacy-related lists
,Category:Diplomatic conferences in Lebanon
,Category:Diplomatic missions in Lebanon
,Category:Diplomatic missions of Lebanon
,Category:Foreign hostages in Lebanon
,Category:Hezbollah involvement in the Syrian civil war
,Category:Foreign ministers of Lebanon
,Category:Lebanese people murdered abroad
,Category:Palestinian refugee camps in Lebanon
,Category:Lebanese people imprisoned abroad
,Category:Treaties of Lebanon
,Category:Lebanon and the United Nations
,Category:Wars involving Lebanon
CS1 Turkish-language sources (tr),Category:Istanbul pogrom
Wars involving the Popular Mobilization Forces,Category:Battles involving the Popular Mobilization Forces
,Category:ISIL insurgency in Iraq (2017–present)
Articles with unsourced statements from October 2013,
Articles with SNAC-ID identifiers,
Articles with unsourced statements from February 2009,
Mexican people of Lebanese descent,Category:Lebanese emigrants to Mexico
,Category:Mexican people of Lebanese-Jewish descent
,Category:Mexican Maronites
2000s in Israel,Category:2000s disestablishments in Israel
,Category:2000s establishments in Israel
,Category:2000 in Israel
,Category:2001 in Israel
,Category:2002 in Israel
,Category:2003 in Israel
,Category:2004 in Israel
,Category:2005 in Israel
,Category:2006 in Israel
,Category:2007 in Israel
,Category:2008 in Israel
,Category:2009 in Israel
,Category:2000s crimes in Israel
,Category:2000s in Jerusalem
,Category:2000s in Israeli politics
,Category:Second Intifada
,Category:2000s in Israeli sport
,Category:2000s in Tel Aviv
,Category:2000s in Israeli television
Franco-Turkish War,Category:Battles of the Franco-Turkish War
,Category:People of the Franco-Turkish War
Lebanese Islamists,Category:Lebanese al-Qaeda members
,Category:Amal Movement politicians
,Category:Hezbollah members
,Category:Lebanese Salafis
Conservative parties in Lebanon,Category:Hizb ut-Tahrir
,Category:Kataeb Party
,Category:Muslim Brotherhood
Paramilitary organisations based in Lebanon,Category:Factions in the Lebanese Civil War
All articles needing additional references,Category:New York City public transportation articles needing additional references
,Category:Rail transport articles needing additional references
,Category:Scotland Transport articles needing additional references
,Category:Cheeses articles needing references
Military lists,Category:Military lists by country
,Category:Lists of military lists
,Category:Lists by military conflict
,Category:Lists of government and military acronyms
,Category:Lists of aerial victories
,Category:Air forces-related lists
,Category:Lists of military conflicts
,Category:Lists of military equipment
,Category:Lists of book-based war films
,Category:Lists of military installations
,Category:Lists of accidents and incidents involving military aircraft
,Category:Lists of military monuments and memorials
,Category:Naval lists
,Category:Lists of military personnel
,Category:Lists of prisoner of war camps
,Category:Lists of military units and formations
,Category:Lists of war artists
Articles with unsourced statements from June 2011,
Articles lacking in-text citations from October 2014,
Wikipedia articles incorporating a citation from the 1911 Encyclopaedia Britannica with Wikisource reference,
1985 in Iran,Category:1985 disestablishments in Iran
,Category:1985 establishments in Iran
,Category:1985 elections in Iran
,Category:Military operations of the Iran–Iraq War in 1985
,Category:1985 in Iranian sport
Pages using Sister project links with wikidata namespace mismatch,
Template film date with 2 release dates,
Conflicts in 2013,Category:Anti-Maidan
,Category:Operation Atalanta
,Category:Attacks in 2013
,Category:Battles in 2013
,Category:Boko Haram insurgency
,Category:War in Darfur
,Category:Euromaidan
,Category:Insurgency in Balochistan
,Category:Internal conflict in Bangladesh
,Category:Internal conflict in Peru
,Category:2013 labor disputes and strikes
,Category:Military operations of the Iraqi Civil War in 2013
,Category:Naxalite–Maoist insurgency
,Category:2013 riots
,Category:2013 in the Syrian civil war
,Category:Syrian civil war spillover in Lebanon
Counter-terrorist organizations,Category:Hostage rescue units
,Category:Non-military counter-terrorist organizations
,Category:SEAL Team Six
,Category:Special Boat Service
Member states of the Organisation of Islamic Cooperation,
Pages using the EasyTimeline extension,Category:Aggadic Midrashim
,Category:Chazal
,Category:Early Acharonim
,Category:General elections in Malta
,Category:Geonim
,Category:Halakhic Midrashim
,Category:Ifriqiya
,Category:Later Acharonim
,Category:Medieval rabbis
,Category:Midrashim
,Category:Migration Period
,Category:People of the Carolingian Empire
,Category:Rabbis by rabbinical period
,Category:Rishonim
,Category:Savoraim
,Category:Talmud rabbis
,Category:Zayyanid dynasty
,Category:Zugot
Accuracy disputes from May 2021,
EngvarB from March 2021,
1980s in Lebanon,Category:1980s in Lebanese television
,Category:1980s disestablishments in Lebanon
,Category:1980s establishments in Lebanon
,Category:1980 in Lebanon
,Category:1981 in Lebanon
,Category:1982 in Lebanon
,Category:1983 in Lebanon
,Category:1984 in Lebanon
,Category:1985 in Lebanon
,Category:1986 in Lebanon
,Category:1987 in Lebanon
,Category:1988 in Lebanon
,Category:1989 in Lebanon
,Category:1980s in Beirut
,Category:1980s crimes in Lebanon
,Category:1980s in Lebanese sport
Anti-Zionism in Asia,Category:Jewish anti-Zionism in Asia
,Category:Anti-Zionism in the Arab world
,Category:Anti-Zionism in Japan
,Category:Anti-Zionism in Lebanon
,Category:Anti-Zionism in Mandatory Palestine
,Category:Anti-Zionism in the Palestinian territories
,Category:Anti-Zionism in South Korea
,Category:Anti-Zionism in the Soviet Union
2017 in Saudi Arabia,Category:2017 disestablishments in Saudi Arabia
,Category:2017 establishments in Saudi Arabia
,Category:2017 events in Saudi Arabia by month
,Category:2017 in Saudi Arabian sport
Lebanon–Saudi Arabia relations,Category:Lebanese expatriates in Saudi Arabia
,Category:Ambassadors of Saudi Arabia to Lebanon
,Category:Saudi Arabian people of Lebanese descent
,Category:Saudi Arabian expatriates in Lebanon
1978 establishments in Lebanon,
Articles with dead external links from December 2016,
Members of the 8th Knesset (1974–1977),
Articles with unsourced statements from October 2019,
Conflicts in 1984,Category:Attacks in 1984
,Category:Eritrean War of Independence
,Category:Guatemalan Civil War
,Category:Internal conflict in Peru
,Category:Iran–Iraq War
,Category:1984 labor disputes and strikes
,Category:Mozambican Civil War
,Category:1984 riots
,Category:Siachen conflict
,Category:South African Border War
,Category:Sri Lankan Civil War
Asian national association football teams,Category:Asian national and official selection-teams not affiliated to FIFA
,Category:Former national association football teams in Asia
,Category:Asian national under-17 association football teams
,Category:Asian national under-20 association football teams
,Category:Asian national under-23 association football teams
,Category:AFC Asian Cup-winning countries
,Category:AFC Challenge Cup-winning countries
,Category:Asian national B association football teams
,Category:Asian national under-19 association football teams
,Category:Asian national under-21 association football teams
,Category:Asian women's national association football teams
,Category:Asian national beach soccer teams
,Category:Asian national futsal teams
,Category:Afghanistan national football team
,Category:Australia national soccer team
,Category:Bahrain national football team
,Category:Bangladesh national football team
,Category:Bhutan national football team
,Category:Brunei national football team
,Category:Cambodia national football team
,Category:China national football team
,Category:Chinese Taipei national football team
,Category:Guam national football team
,Category:Hong Kong national football team
,Category:India national football team
,Category:Indonesia national football team
,Category:Iran national football team
,Category:Iraq national football team
,Category:Israel national football team
,Category:Japan national football team
,Category:Jordan national football team
,Category:Kazakhstan national football team
,Category:North Korea national football team
,Category:South Korea national football team
,Category:South Korea national football teams
,Category:Kuwait national football team
,Category:Kyrgyzstan national football team
,Category:Laos national football team
,Category:Lebanon national football team
,Category:Macau national football team
,Category:Malaya national football team
,Category:Malaysia national football team
,Category:Maldives national football team
,Category:Mongolia national football team
,Category:Myanmar national football team
,Category:Nepal national football team
,Category:North Vietnam national football team
,Category:Northern Mariana Islands national football team
,Category:Oman national football team
,Category:Pakistan national football team
,Category:Philippines national football team
,Category:Qatar national football team
,Category:Saudi Arabia national football team
,Category:Singapore national football team
,Category:South Vietnam national football team
,Category:Sri Lanka national football team
,Category:State of Palestine national football team
,Category:Syria national football team
,Category:Tajikistan national football team
,Category:Thailand national football team
,Category:Timor-Leste national football team
,Category:Turkmenistan national football team
,Category:United Arab Emirates national football team
,Category:Uzbekistan national football team
,Category:Vietnam national football team
,Category:Yemen national football team
Military history of Iran,Category:Military history of the Achaemenid Empire
,Category:Military history of Afsharid Iran
,Category:Arab–Iranian conflict
,Category:Battles involving Iran
,Category:Castles in Iran
,Category:Commanders-in-Chief of Iran
,Category:Military coups in Iran
,Category:Forts in Iran
,Category:Imperial Iranian Armed Forces
,Category:Invasions of Iran
,Category:Iran–Israel proxy conflict
,Category:Iranian generals
,Category:Iranian war crimes
,Category:Military alliances involving Iran
,Category:Military history of Iran during World War II
,Category:Military operations involving Iran
,Category:Military history of the Parthian Empire
,Category:Peace treaties of Iran
,Category:Military history of Qajar Iran
,Category:Rebel groups in Iran
,Category:Military history of Safavid Iran
,Category:Military history of the Sasanian Empire
,Category:Military history of the Seleucid Empire
,Category:War crimes in Iran
,Category:Wars involving Iran
,Category:Military history of the Zand dynasty
Military operations of the Syrian civil war,Category:Military operations of the Syrian civil war by belligerent party
,Category:Military operations of the Syrian civil war by type
,Category:Military operations of the Syrian civil war by year
Articles with unsourced statements from September 2018,
Military of Lebanon,Category:Bilateral military relations of Lebanon
,Category:Military education and training in Lebanon
,Category:Military history of Lebanon
,Category:Military installations of Lebanon
,Category:Lebanese Air Force bases
,Category:Lebanese Army Academies
,Category:Lebanese Army bases
,Category:Lebanese Army Operations
,Category:Lebanese Navy bases
,Category:Military equipment of Lebanon
,Category:Military units and formations of Lebanon
,Category:Military operations involving Lebanon
