category,sub-category
Media bias controversies,Category:Fake news
,Category:Photojournalism controversies
Articles with MA identifiers,
CS1 Swedish-language sources (sv),
German crime drama films,Category:German crime comedy-drama films
Short description matches Wikidata,
Articles with ISNI identifiers,
Articles with unsourced statements from July 2021,
All articles with links needing disambiguation,
1980s conflicts,Category:1987–1989 JVP insurrection
,Category:Basque conflict
,Category:1980s battles
,Category:Conflicts in 1980
,Category:Conflicts in 1981
,Category:Conflicts in 1982
,Category:Conflicts in 1983
,Category:Conflicts in 1984
,Category:Conflicts in 1985
,Category:Conflicts in 1986
,Category:Conflicts in 1987
,Category:Conflicts in 1988
,Category:Conflicts in 1989
,Category:1980s coups d'état and coup attempts
,Category:Eelam War I
,Category:Ethiopian Civil War
,Category:First Nagorno-Karabakh War
,Category:Insurgency in Northeast India
,Category:Internal conflict in Peru
,Category:Iran–Iraq War
,Category:1980s labor disputes and strikes
,Category:Lebanese Civil War
,Category:Naxalite–Maoist insurgency
,Category:Papua conflict
,Category:1980s riots
,Category:South African Border War
,Category:Soviet–Afghan War
,Category:The Troubles (Northern Ireland)
,Category:Third Indochina War
,Category:Years of Lead (Italy)
Use dmy dates from March 2021,
Commons category link from Wikidata,Category:10th millennium BC
,Category:9th millennium BC
,Category:8th millennium BC
,Category:7th millennium BC
,Category:6th millennium BC
,Category:5th millennium BC
,Category:4th millennium BC
,Category:3rd millennium BC
,Category:2nd millennium BC
,Category:1st millennium BC
,Category:(1′B)(B1′) locomotives
,Category:(1′B)B locomotives
,Category:(1′C)(C1′) locomotives
,Category:(1′C)+(C1′) locomotives
,Category:(1′C)C h4v locomotives
,Category:(1′C)C locomotives
,Category:(1′Co)(Co1′) locomotives
,Category:(1′Co)+(Co1′) locomotives
,Category:(1A)Bo(A1) locomotives
,Category:(1Bo)+(Bo1) locomotives
,Category:(C1′)+(1′C) locomotives
,Category:(G)I-dle members
,Category:/pol/ phenomena
,Category:0 (number)
,Category:0-2-2 locomotives
,Category:0-2-2T locomotives
,Category:0-4-0 locomotives
,Category:0-4-0+0-4-0 locomotives
,Category:0-4-2 locomotives
,Category:0-4-4 locomotives
,Category:0-4-4-0 locomotives
,Category:0-4-4-0T locomotives
,Category:0-4-6 locomotives
,Category:0-6-0 locomotives
,Category:0-6-0+0-6-0 locomotives
,Category:0-6-2 locomotives
,Category:0-6-2+2-6-0T locomotives
,Category:0-6-4 locomotives
,Category:0-6-6 locomotives
,Category:0-6-6-0 locomotives
,Category:0-8-0 locomotives
,Category:0-8-2 locomotives
,Category:0-8-4 locomotives
,Category:0-8-8-0 locomotives
,Category:0-10-0 locomotives
,Category:0-10-2 locomotives
,Category:0-12-0 locomotives
,Category:0s
,Category:0s BC
,Category:0s BC births
,Category:0s BC deaths
,Category:0s births
,Category:0s deaths
,Category:Tennessee State Route 1
,Category:1 (number)
