category,sub-category
United Nations Security Council mandates,Category:International Security Assistance Force
,Category:United Nations Force Intervention Brigade
CS1 uses Arabic-language script (ar),
Ethnic groups in Lebanon,Category:Lebanese culture by ethnicity
,Category:Antiochian Greek Christians
,Category:Antiochian Greeks
,Category:Arabs in Lebanon
,Category:Armenian diaspora in Lebanon
,Category:Asian diaspora in Lebanon
,Category:Assyrians in Lebanon
,Category:Ethnic groups in Beirut
,Category:Druze in Lebanon
,Category:Ethnic enclaves in Lebanon
,Category:European diaspora in Lebanon
,Category:Jews in the French Mandate for Syria and the Lebanon
,Category:Lebanese Jews
,Category:Middle Eastern diaspora in Lebanon
,Category:Non-Arabic-language mass media in Lebanon
,Category:Palestinians in Lebanon
,Category:Romani in Lebanon
,Category:Tribes of Lebanon
Use dmy dates from July 2021,
Vague or ambiguous time from March 2017,
Articles with WorldCat-VIAF identifiers,
2005 crime drama films,
Articles needing additional references from November 2021,
21st-century military history,Category:21st-century military history by country
,Category:Military installations closed in the 21st century
,Category:Military installations established in the 21st century
,Category:Military units and formations disestablished in the 21st century
,Category:Military units and formations established in the 21st century
,Category:2000s in military history
,Category:2010s in military history
,Category:2020s in military history
,Category:21st-century military alliances
,Category:21st-century conflicts
,Category:21st-century military equipment
,Category:21st-century fortifications
,Category:Military operations of the 21st-century
,Category:21st-century military personnel
,Category:Warfare post-1945
Articles with unsourced statements from January 2012,
1979 establishments in Iran,Category:Iranian companies established in 1979
Articles to be expanded from October 2021,
Lebanese Maronites,Category:Chamoun family
,Category:Frangieh family
,Category:Gemayel family
,Category:Karam family
,Category:Khazen family
,Category:Lahoud family
,Category:Maronite Christian communities in Lebanon
,Category:Lebanese Maronite saints
Articles with specifically marked weasel-worded phrases from March 2018,
2010s in Iran,Category:2010s disestablishments in Iran
,Category:2010s establishments in Iran
,Category:2010 in Iran
,Category:2011 in Iran
,Category:2012 in Iran
,Category:2013 in Iran
,Category:2014 in Iran
,Category:2015 in Iran
,Category:2016 in Iran
,Category:2017 in Iran
,Category:2018 in Iran
,Category:2019 in Iran
,Category:2010s crimes in Iran
,Category:2010s elections in Iran
,Category:Presidency of Hassan Rouhani
,Category:2010s in Iranian sport
,Category:2010s in Tehran
,Category:2010s in Iranian television
Articles with unsourced statements from December 2020,
Articles with GND identifiers,
European Film Awards winners (films),
Lists of wars by country,
Conflicts in 1983,Category:Attacks in 1983
,Category:Eritrean War of Independence
,Category:Guatemalan Civil War
,Category:Internal conflict in Peru
,Category:Iran–Iraq War
,Category:1983 labor disputes and strikes
,Category:Mozambican Civil War
,Category:1983 riots
,Category:South African Border War
,Category:Sri Lankan Civil War
Shia–Sunni sectarian violence,Category:Bahraini uprising of 2011
,Category:Qatif conflict
,Category:Violence against Shia Muslims
,Category:Yemeni Crisis (2011–present)
Israel–Lebanon military relations,Category:Israeli–Lebanese conflict
,Category:Hezbollah–Israel conflict
British Empire,Category:Scotland and the British Empire
,Category:British colonisation in Africa
,Category:British colonization of the Americas
,Category:British colonisation of Asia
,Category:British diaspora
,Category:British Governors and Governors-General of Nigeria
,Category:Former British colonies
,Category:United Kingdom and the Commonwealth of Nations
,Category:Commonwealth realms
,Category:Currencies of the British Empire
,Category:Elections in the British Empire
,Category:Events in the British Empire
,Category:Expatriates in British Hong Kong
,Category:British Empire in fiction
,Category:Flags of the British Empire
,Category:Governance of the British Empire
,Category:Government Houses of the British Empire and Commonwealth
,Category:History of the British Empire
,Category:Independence acts in the Parliament of the United Kingdom
,Category:Internment camps of the British Empire
,Category:British Empire-related lists
,Category:Medicine in the British Empire
,Category:Military of the British Empire
,Category:British colonisation of Oceania
,Category:Opposition to the British Empire
,"Category:Orders, decorations, and medals of the British Empire"
,Category:British Overseas Territories and Crown Dependencies
,Category:People of the British Empire
,Category:Former British protectorates
,Category:Religion in the British Empire
,Category:Slavery in the British Empire
,Category:British Empire stubs
,Category:Works about the British Empire
Members of the 12th Knesset (1988–1992),
Organizations designated as terrorist in Asia,Category:Al-Qaeda in Iraq
,Category:Al-Qaeda in the Arabian Peninsula
,Category:Asa'ib Ahl al-Haq
,Category:Badr Organization
,Category:Communist Party of India (Maoist)
,Category:Defunct organizations designated as terrorist in Asia
,Category:Grey Wolves (organization)
,Category:Hamas
,Category:Hezbollah
,Category:Houthis
,Category:Islamic Jihad Movement in Palestine
,Category:Islamic Movement of Uzbekistan
,Category:Kurdistan Freedom Hawks
,Category:Kurdistan Workers' Party
,Category:Lashkar-e-Jhangvi
,Category:Lashkar-e-Taiba
,Category:Al-Nusra Front
,Category:People's Mujahedin of Iran
,Category:People's Protection Units
,Category:Popular Front for the Liberation of Palestine
,Category:Revolutionary People's Liberation Party/Front
,Category:Syrian opposition
,Category:Unification Church
People with severe brain damage,Category:Terri Schiavo case
Articles needing cleanup from January 2011,
2020s in Saudi Arabia,Category:2020s disestablishments in Saudi Arabia
,Category:2020s establishments in Saudi Arabia
,Category:2020 in Saudi Arabia
,Category:2021 in Saudi Arabia
,Category:2022 in Saudi Arabia
,Category:2020s in Saudi Arabian sport
Invasions of Lebanon,Category:2006 Lebanon War
Amarna letters locations,Category:Jerusalem
Pages with non-numeric formatnum arguments,
2006 in Israel,Category:2006 disestablishments in Israel
,Category:2006 establishments in Israel
,Category:2006 Lebanon War
,Category:2006 crimes in Israel
,Category:Operation Summer Rains
,Category:2006 in Israeli politics
,Category:2006 in Israeli sport
,Category:2006 in Israeli television
November 2017 events in Saudi Arabia,
1860 in Ottoman Syria,Category:1860 disestablishments in Ottoman Syria
,Category:1860 establishments in Ottoman Syria
Articles to be expanded from January 2021,
Major phases of the Syrian civil war,Category:Timelines of the Syrian civil war
,Category:Syrian peace process
Articles with unsourced statements from July 2014,
Articles with dead external links from November 2017,
Use Oxford spelling from May 2021,
Articles with unsourced statements from February 2019,
Articles with dead external links from July 2010,
Short description is different from Wikidata,
Wikipedia pages needing cleanup from January 2011,
