category,sub-category
Armored personnel carriers of the United States,
Israeli people of Belarusian-Jewish descent,
Articles with unsourced statements from October 2015,
20th-century military history of the United Kingdom,Category:20th-century history of the British Army
,Category:20th-century history of the Royal Navy
,Category:Aden Emergency
,Category:Aftermath of World War II in the United Kingdom
,Category:Allied intervention in the Russian Civil War
,Category:Cold War military history of the United Kingdom
,Category:Dhofar Rebellion
,Category:Falklands War
,Category:20th-century forts in England
,Category:Gulf War
,Category:Iraqi revolt of 1920
,Category:Jewish insurgency in Mandatory Palestine
,Category:Military history of the United Kingdom during the Korean War
,Category:Malayan Emergency
,Category:20th-century British military personnel
,Category:Nuclear history of the United Kingdom
,Category:20th-century history of the Royal Air Force
,Category:Suez Crisis
,Category:The Troubles (Northern Ireland)
,Category:Third Anglo-Afghan War
,Category:British Empire in World War I
,Category:Military history of the United Kingdom during World War I
,Category:British Empire in World War II
,Category:Military history of the United Kingdom during World War II
Palestinian war casualties,Category:Palestinian casualties in the Second Intifada
Political parties established in 1932,Category:Co-operative Commonwealth Federation
,Category:Saskatchewan New Democratic Party
,Category:Syrian Social Nationalist Party
,Category:United Australia Party
Israeli military personnel killed in action,
Articles to be expanded from April 2021,
Infantry fighting vehicles of the Philippines,Category:Armored personnel carriers of the Philippines
Palestinian terrorism,Category:Abu Nidal
,Category:Arab nationalist terrorism in Israel
,Category:Black September Organization
,Category:Jihadist groups in Palestine
,Category:Palestinian militant groups
,Category:Military operations involving the PLO
,Category:Palestinian Fedayeen insurgency
,Category:Palestinian stone-throwing
,Category:Suicide bombing in the Israeli–Palestinian conflict
,Category:Terrorist attacks against Israeli civilians before 1967
,Category:Terrorist attacks attributed to Palestinian militant groups
Webarchive template webcite links,
Military history of Lebanon,Category:Battles involving Lebanon
,Category:Factions in the Lebanese Civil War
,Category:Invasions of Lebanon
,Category:Israeli–Lebanese conflict
,Category:Lebanese Army Operations
,Category:Military alliances involving Lebanon
,Category:Military operations involving Lebanon
,Category:War crimes in Lebanon
,Category:Wars involving Lebanon
1980s in Saudi Arabia,Category:1980s disestablishments in Saudi Arabia
,Category:1980s establishments in Saudi Arabia
,Category:1980 in Saudi Arabia
,Category:1981 in Saudi Arabia
,Category:1982 in Saudi Arabia
,Category:1983 in Saudi Arabia
,Category:1984 in Saudi Arabia
,Category:1985 in Saudi Arabia
,Category:1986 in Saudi Arabia
,Category:1987 in Saudi Arabia
,Category:1988 in Saudi Arabia
,Category:1989 in Saudi Arabia
,Category:1980s crimes in Saudi Arabia
,Category:1980s in Saudi Arabian sport
,Category:1980s in Saudi Arabian television
Articles with Spanish-language sources (es),
Currencies of Asia,Category:Currencies of Asia by country
,Category:Rupee
,Category:Currencies of the Cocos (Keeling) Islands
,Category:Currencies of Hong Kong
,Category:Currencies of Korea
,Category:Currencies of Macau
,Category:Banknotes of Asia
Hezbollah–Israel conflict,Category:2000–2006 Shebaa Farms conflict
,Category:2006 Lebanon War
,Category:South Lebanon conflict (1985–2000)
States and territories disestablished in the 6th century BC,Category:Neo-Babylonian Empire
Films set in Colombia,Category:Films about organized crime in Colombia
Harv and Sfn multiple-target errors,
Articles with disputed statements from January 2016,
Articles needing additional references from August 2016,
1990s in Lebanon,Category:1990s disestablishments in Lebanon
,Category:1990s establishments in Lebanon
,Category:1990 in Lebanon
,Category:1991 in Lebanon
,Category:1992 in Lebanon
,Category:1993 in Lebanon
,Category:1994 in Lebanon
,Category:1995 in Lebanon
,Category:1996 in Lebanon
,Category:1997 in Lebanon
,Category:1998 in Lebanon
,Category:1999 in Lebanon
,Category:1990s in Beirut
,Category:1990s crimes in Lebanon
,Category:1990s in Lebanese sport
,Category:1990s in Lebanese television
Conflicts in 1976,Category:Attacks in 1976
,Category:Dhofar Rebellion
,Category:Eritrean War of Independence
,Category:Guatemalan Civil War
,Category:1976 labor disputes and strikes
,Category:Mozambican Civil War
,Category:Rhodesian Bush War
,Category:1976 riots
,Category:South African Border War
Members of the 10th Knesset (1981–1984),
Pages with ISBN errors,Category:Articles using the ISBN template incorrectly
,Category:Articles with invalid ISBNs
,Category:CS1 errors: ISBN
Armoured fighting vehicles of Australia,Category:Tanks of Australia
,Category:World War II armoured fighting vehicles of Australia
Moshavniks,Category:Moshavim movement secretaries
,Category:People from Nahalal
Use dmy dates from May 2018,
March 8 Alliance,Category:Amal Movement
,Category:Hezbollah
Civilians in war,Category:Civil defense
,Category:Civilian casualties
,Category:Civilian recipients of the Medal of Honor
,Category:Home front during World War I
,Category:Home front during World War II
,Category:People of the Royal Observer Corps
,Category:Volkssturm personnel
,Category:Wartime recipes
,Category:World War I civilian prisoners
,Category:World War I home front films
,Category:World War II civilian prisoners
Good articles,
CS1 German-language sources (de),Category:Poaching
Iran–United Arab Emirates relations,Category:Emirati expatriates in Iran
,Category:Iranian expatriates in the United Arab Emirates
,Category:Ambassadors of Iran to the United Arab Emirates
,Category:Ambassadors of the United Arab Emirates to Iran
,Category:Arab–Israeli alliance against Iran
,Category:Emirati people of Iranian descent
,Category:Iranian diaspora in the United Arab Emirates
,Category:Strait of Hormuz
Articles with long short description,
Wikipedia articles needing context from June 2015,
Currencies of Lebanon,
Use British English from April 2020,
Israeli people of the Yom Kippur War,Category:Israeli military casualties of Yom Kippur War
Use dmy dates from January 2013,
Military history of Asia,Category:Military history of Asia by country
,Category:Military history of the Indian Ocean
,Category:Military history of the Soviet Union
,Category:Asian armour
,Category:Asian swords
,Category:Conflicts in Asia
,Category:Fortifications in Asia
,Category:Military history of Asia by region
,Category:Rebellions in Asia
,Category:Military history of the Turkic peoples
,Category:United Nations operations in Asia
,Category:Warriors of Asia
,Category:Wars involving the states and peoples of Asia
,Category:Women in war in Asia
Articles with RERO identifiers,
Weapons by war,Category:Artillery by war
,Category:Chemical warfare by conflict
,Category:Mortars by war
,Category:World War I weapons
,Category:World War II weapons
Iran–Israel relations,Category:Iran–Israel military relations
,Category:1982 kidnapping of Iranian diplomats
,Category:Ambassadors of Israel to Iran
,Category:Iran–Israel proxy conflict
,Category:Israeli people of Iranian descent
1948 Palestinian exodus,Category:Films about the 1948 Palestinian exodus
,Category:1948 massacres of Palestinians
,Category:Arab villages depopulated during the 1948 Arab–Israeli War
Conflicts in 1958,Category:Algerian War
,Category:Cuban Revolution
,Category:Cyprus Emergency
,Category:Insurgency in Balochistan
,Category:1958 labor disputes and strikes
,Category:Malayan Emergency
,Category:Mau Mau Uprising
,Category:1958 riots
Articles with unsourced statements from November 2009,
Lebanese Shia clerics,
World Heritage Sites in Lebanon,
Vague or ambiguous time from February 2021,
Use dmy dates from October 2020,
Mountain ranges of Asia,Category:Mountain ranges of Asia by country
,Category:Mountain ranges of the Caucasus
,Category:Himalayas
,Category:Hindu Kush
