Name,Location,Date,Target,Type,Perpetrators,Combatant1,Combatant2,Combatant3,Combatant4,Commander1,Commander2,Commander3,Commander4,Part of
14 July Revolution,Iraq,14 July 1958,-,-,-,"**  Royal Guard
Supported by:,Arab Federation","Free Officers,20th Brigade
Supported by:,19th Brigade",-,-,"Nuri al-Said,King Faisal&nbsp;II,Abd al-Ilah","Nazem Tabakli,Abdul Salam Arif,Surat al-Haj Sri,Abd al-Karim Qasim,Muhammad Najib ar-Rubai",-,-,the Arab Cold War
1860 civil conflict in Mount Lebanon and Damascus,"Mount Lebanon, Beqaa Valley, Galilee and Damascus, Ottoman Empire",23 May – 11 July 1860,-,-,-,"Rural Maronite militiamen,Shihab dynasty
Supported by,Zahalni militiamen,Maronites and allies,French expeditionary forces","al-Atrash clan,Talhuq clan,Abu Nakad clan,Jumblatt clan
Supported by,Harfush clan,Rural Druze clans,Imad clan,Rural Sunni and Shia Muslim militiamen,Sardiyah tribe",-,-,"Yusuf al-Mubayyad,Yusuf al-Shantiri,Abdallah Abu Khatir,Youssef Bey Karam,Tanyus Shahin","Ali Imad,Khattar Imad,Said Jumblatt,Kenj Ahmad,Hasan Agha al-Tawil,KIA,Bashir Nakad,Ismail al-Atrash,Qasim Imad",-,-,-
1947–1949 Palestine war,"Former Mandatory Palestine, Sinai Peninsula, southern Lebanon","(  ),30 November 1947&nbsp;– 20 July 1949",-,-,-,"border]] Minorities Unit,Yishuv,----
Before 26 May 1948,Paramilitary groups:,Foreign volunteers:,Mahal,Israel,Allied Bedouin tribes ----
After 26 May 1948:","*  Egypt,----
  :,*  All-Palestine Protectorate  ***  Holy War Army  *  Transjordan,Holy War Army,Syria,Lebanon,*  ----,Iraq,al-Najjada",-,-,"Yigal Allon,Yisrael Galili,Yaakov Dori,David Shaltiel,David Ben-Gurion,Moshe Carmel,Yitzhak Rabin,Moshe Dayan,Yigael Yadin,Chaim Weizmann","Haj Amin Al-Husseini,Habis al-Majali,Ahmad Ali al-Mwawi,John Bagot Glubb,Muhammad Naguib,Hasan Salama,Abd al-Qadir al-Husayni,Fawzi Al-Qawuqji,Abdul Rahman Hassan Azzam,King Farouk I",-,-,the Sectarian conflict in Mandatory Palestine and the Arab–Israeli conflict
Civil war in Palestine (1947–48),Mandatory Palestine,"30 November 1947 – 14 May 1948,(  )",-,-,-,"Lehi,Jews of Palestine,Foreign Volunteers,Allied Bedouin tribes","Arabs of Palestine,Army of the Holy War",*  United Kingdom military forces in Mandatory Palestine,-,"Yigal Allon,Yaakov Dori,David Ben-Gurion,Menachem Begin,Yigael Yadin","Abd al-Qadir al-Husayni,Fawzi al-Qawuqji",Gordon MacMillan,-,"the Intercommunal conflict in Mandatory Palestine, 1948 Palestine War"
1948 Arab–Israeli War,"Former British Mandate of Palestine, Sinai Peninsula, southern Lebanon","15 May 1948 – 10 March 1949,(  )",-,-,-,"border]] Minorities Unit,Yishuv,Before 26 May 1948:,Paramilitary groups:,Foreign volunteers:,Mahal,Allied Bedouin tribes ----
After 26 May 1948:","**  All-Palestine Protectorate  ***  Holy War Army  *  *  *  Syria *   *  *  ----
Irregulars:,:,al-Najjada  Holy War Army",-,-,"Yigal Allon,Mickey Marcus,Yisrael Galili,Yaakov Dori,David Ben-Gurion,David Shaltiel,Moshe Carmel,Shimon Avidan,Yitzhak Sadeh,Moshe Dayan,Yigael Yadin,Yitzhak Rabin","Habis Majali,Muzahim al-Pachachi,Husni al-Zaim,John Bagot Glubb,Muhammad Naguib,Azzam Pasha,King Abdallah I,Haj Amin al-Husseini,Hasan Salama,Ahmed Ali al-Mwawi,King Farouk I",-,-,the 1947–1949 Palestine war
1953 Iranian coup détat,"Tehran, Imperial State of Iran",15–19 August 1953,-,-,-,Government of Iran,House of Pahlavi,-,-,"Mohammad Mosaddegh,Taghi Riahi,Gholam Hossein Sadighi,Hossein Fatemi","Mohammad Reza Pahlavi,Assadollah Rashidian,Allen Dulles,Nematollah Nassiri,Shaban Jafari,John Sinclair,Fazlollah Zahedi,Dwight Eisenhower,Winston Churchill,Kermit Roosevelt Jr.,Anthony Eden",-,-,"the Abadan Crisis, and the Cold War"
1958 Lebanon crisis,"Port of Beirut, Beirut Intl. Airport, Lebanon",,-,-,-,"border]] Tashnag,border]] National Liberal Party,United States,border]] SSNP,Supported by:,Government,Kataeb Party,border]] Lebanese Armed Forces","border]] Lebanese Communist Party,border]] Progressive Socialist Party,Supported by:,Opposition,Soviet Union,border]] Najjadeh Party",-,-,"Pierre Gemayel,border]] Gen. Fouad Chehab,Naim Moghabghab,Dwight D. Eisenhower,Camille Chamoun","Rashid Karami,Gamal Abdel Nasser,Kamal Jumblatt,Adnan Al-Hakim,Saeb Salam",-,-,the Cold War and the Arab Cold War
-,Yemen,"(  ),4 May – 7 July 1994",-,-,-,"Yemen,Jihadists  *Islamic Jihad in Yemen   Supported by:","Libya,Supported by:,Iraq,Democratic Republic of Yemen (South Yemen)",-,-,"Tariq al-Fadhli,Ali Mohsen al-Ahmar,Abdul Majeed al-Zindani,Ali Abdullah Saleh","Ali Mohammed Assadi,Ali Salem al Beidh",-,-,the Effects of the Cold War and the Arab Cold War
"إنقلاب  
الثامن من آذار1963 Syrian coup détat",Syria,8 March 1963,-,-,-,"National Party,Peoples Party,Syrian Arab Republic,Arab Liberation Movement,border","Baath Party,Military Bureau",-,-,"Khalid al-Azm,Nazim al-Kudsi","Ziad al-Hariri,Hafez al-Assad,Rashid al-Qutayni,Muhammad al-Sufi,Amin al-Hafiz,Muhammad Umran,Salah Jadid,Jassem Alwan",-,-,the Arab Cold War
1966 Syrian coup détat,Syria,21–23 February 1966,-,-,-,National Command of the Arab Socialist Baath Party,Syrian Regional Branch of the Arab Socialist Baath Party,-,-,"Michel Aflaq,Amin al-Hafiz,Munif al-Razzaz,Salah al-Din al-Bitar,Muhammad Umran","Maj. Gen. Hafez al-Assad,Salah Jadid,Lt. Col. Mustafa Tlas,Maj. Salim Hatum",-,-,the Arab Cold War
Third Arab–Israeli War,"Levant, Middle East","5–10 June 1967,(6-day)",-,-,-,,"Egypt (UAR),Minor involvement:,Iraq",-,-,"(Assistant Head of the Operations Branch),(3rd Prime Minister of Israel),Mordechai Hod,(Directors of Aman),(Commander of the Southern Command),(Commanders of the Operations Directorate),(Commander of the Central Command),(Commander of the Air Force),(Chief of the General Staff),(Commander of the Northern Command),(Commander of Armored Corps),(Ministry of Defense),Shlomo Erell (Commander of the Navy)","Asad Ghanma,(Chief of the General Staff (Syria)),(17th President of Syria),(Minister of Defense),(2nd President of Egypt),Shakir Mahmud Shukri,(Ministry of Defense (Syria)),Zaid ibn Shaker,(Ministry of Defence (Iraq)),(King of Jordan),Chief of the General Staff",-,-,the Arab–Israeli conflict
Fourth Arab–Israeli War,"Golan Heights, Sinai Peninsula, Suez Canal (both banks) and surrounding regions","6–25 October 1973,(  )",-,-,-,Supported by:,"Cuba,Libya,Tunisia,Egypt,Expeditionary forces:,Morocco,Algeria,Kuwait,link,Syria,Perez, Cuba, Between Reform and Revolution, pp. 377–79. Gott, Cuba, A New History, p. 280.,Iraq  Libya,flagicon image,Iraq,Jordan",-,-,"Albert Mandler,Israel Tal,Ariel Sharon,David Elazar,Golda Meir,Binyamin Peled,Albert Mandler  *  Ariel Sharon,Benjamin Telem,Shmuel Gonen,Moshe Dayan,KIA,Yitzhak Hofi,Israel,Haim Bar-Lev","Omar Abrash,Hafez al-Assad,Egypt,Ahmad Ismail Ali,Anwar Sadat,Saad El Shazly,Abdel Ghani el-Gammasy,Yusuf Shakkour,Syria,Ali Aslan,Mustafa Tlass,1972",-,-,the Arab–Israeli conflict and the Cold War
