Name,Subdivision type,Subdivision name
Ain al-Hilweh,Country,"Lebanon,Flag"
Aley District,Country,"Lebanon,Flag"
Ashdod,Country,Israel
Iraq,-,-
Baabda,Country,"Lebanon,flagcountry"
Barbados,-,-
Beirut,Country,Lebanon
Chouf District,Country,"Lebanon,Flag"
Damascus,Country,Syria
Damour,Country,LBN
the Dominican Republic,-,-
Egypt,-,-
-,-,-
France,-,-
Southern Lebanon,-,-
Golan Heights,Status,"Internationally recognized as Syrian terri,ry occupied by Israel; n,group,note,The United States recognized Israeli sovereignty over the Golan in March 2019. The US is the first country to recognize the Golan as Israeli territory,while the rest of the international community still considers it Syrian territory occupied by Israel.,see Status of the Golan Heights."
Haifa,Country,"Israel,Flagu"
Hasbaya,Country,"Lebanon,Flag"
Iceland,-,-
Iraq,-,-
Israel,-,-
Ivory Coast,-,-
Jezzine,Country,LBN
Jordan,-,-
Egypt,-,-
Iraq,-,-
Kuwait,-,-
Lebanon,-,-
Libya,-,-
Luxembourg,-,-
Morocco,-,-
Nabatieh,Country,"Lebanon,flagcountry"
Nabatieh,Country,"Lebanon,flagcountry"
Niger,-,-
North Korea,-,-
Palestinian National Authority,-,-
Papua New Guinea,-,-
Rachaya Al Foukhar,Country,"Lebanon,flagcountry"
Saudi Arabia,-,-
Syrian Republic,-,-
Sidon,Country,Lebanon
South Yemen,-,-
the Soviet Union,-,-
Syria,-,-
Tayibe,Country,LBN
-,Country,Israel
Tripoli,Country,-
Tyre,Country,"Lebanon,Flag"
Tyre,Country,"Lebanon,Flag"
UAE,-,-
United Arab Republic,-,-
United Kingdom,-,-
the United States,-,-
Republic of Yemen,-,-
North Yemen,-,-
Zrarieh,Country,"Lebanon,Flag"
