Sentence,Label,Label_general
"Basically, attacking the Israeli settlements cancels a major achievement of the summer invasion of Lebanon, which resulted in the expulsion of the Palestinian resistance from its strongholds in southern Lebanon.",Distant_Evaluation,additional_supportive_contents
The resistance spoke of killing and wounding the southern ranks,Main_Consequence,main_contents
"To cancel the Cairo Agreement, the importance and advantages of the commitment to implement the cancellation is of greater importance and more positives, by stopping the Palestinian operations in the south so that it is possible to implement the agreement",Distant_Evaluation,additional_supportive_contents
The south becomes a sectarian canton that constitutes a good security belt for the enemy to prevent the heroes of the National Resistance Front from exercising their struggle role,Distant_Evaluation,additional_supportive_contents
And they warned the exploiters of circumstances wearing the dress of patriotism,Distant_Evaluation,additional_supportive_contents
"And while the Amal movement finds itself compelled to fight a battle of self-defense to bring down the targets of the hideous conspiracy, foremost of which is striking the resistance against the occupation and drowning the Palestinian cause, Zuarib Maghdouche, Shatila and Burj Al-Barajneh, and finding an alternative homeland for the Palestinians, Lebanon.",Distant_Evaluation,additional_supportive_contents
"I assure the occasion that the unity of the Lebanese and Palestinian forces in the regions, especially the Sidon region, is the basis for the continuation of the struggle and the restoration of rights.",Distant_Expectations_Consequences,additional_supportive_contents
"It remains just a patch for the Palestinian revolution, with every official contribution that wants to support the south, a patriotic resistance that is able to stand firm against Israel, because there is no alternative to a comprehensive confrontation to deal with the issue of the south.",Distant_Evaluation,additional_supportive_contents
"He praised the cooperation of the Lebanese and Palestinian resistance, our great south, and said that the cooperation has grown",Cause_Specific,context_informing_contents
"Fourth, the security of the south is the responsibility of the Amal movement, with the recognition and acceptance of the Lebanese and Palestinian national forces",Cause_Specific,context_informing_contents
"Action obscures the main issue, which is Israel's occupation of southern Lebanon, and Israel's practices in the occupied territories obscure our cause, the Palestinian cause, and the heroism of the national resistance in the south.",Distant_Evaluation,additional_supportive_contents
"The first clash of its kind took place since the Israelis withdrew from Sidon and its surroundings, the Palestinian refugee camp, Mieh, Mieh, and the townspeople, killing a Palestinian girl and wounding a town boy.",Main_Consequence,main_contents
"The Secretary-General of the Lebanese Communist Party, Mr. George Hawi, called for an end to the bloody fighting, the Amal movement, and the Palestinian fighters only benefiting the Israeli enemy lurking in the south, the Palestinian revolution and the national resistance.",Cause_Specific,context_informing_contents
"And I think that the Palestinian revolution and the national forces can overdo his hair in this fortified stronghold, and he added that Israel needs it, so it calls for the establishment and growth of a comprehensive Lebanese national resistance against the Zionist threat, the south being renewed, and the Palestinian resistance becoming a support force for the identity of the south.",Distant_Expectations_Consequences,additional_supportive_contents
"Simmah accused the Amal movement, linked to the Zionist enemy, that they blew up the situation around the southern camps in order to empty the south, withdraw the Palestinians' weapons and displace them.",Distant_Evaluation,additional_supportive_contents
"Yesterday, she said on Damascus radio, ""Go out in southern Lebanon, the first day of the Israeli invasion.""",Main,main_contents
